name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;214;0;306;3051;993;3051;993;0
header;215;123;215;156;1847;156;1847;123
A;692;448;692;450;694;450;694;448
B;628;646;628;663;641;663;641;646
D;535;1242;535;1259;548;1259;548;1242
A;311;1985;311;1990;317;1990;317;1985
D;763;2375;763;2390;785;2390;785;2375
A;800;2452;800;2453;800;2453;800;2452
D;752;2519;752;2545;768;2545;768;2519
B;415;2634;415;2649;428;2649;428;2634
A;366;2670;366;2674;370;2674;370;2670
A;366;2681;366;2687;371;2687;371;2681
A;794;2765;794;2791;810;2791;810;2765
A;520;2964;520;2965;520;2965;520;2964
